ref:FR:prix-carburants,brand,name,operator,branch
59580001,TotalEnergies,TotalEnergies,,
59198002,Total,TotalEnergies Contact,,
59157002,TotalEnergies,Total Le Jeune Bois,,
31075001,Auchan,C.c. Auchan,Auchan,
20167004,Total,Total,,
20166006,TotalEnergies,Total,SARL DAP,
20218007,TotalEnergies,TotalEnergies,,
20260001,TotalEnergies,TotalEnergies,,
33460006,Carrefour Contact,Carrefour Contact,,
20217004,TotalEnergies,Total,,
59930002,Total Access,Total Access,,
59136001,TotalEnergies,Total Access,,
59760005,Total,Total,Total,
20167013,TotalEnergies,TotalEnergies,,
95360001,Intermarché,Intermarché,Groupement des Mousquetaires,
41400001,Super U,Station Super U,Super U,
59264001,Total Access,Total Access,,
33560004,Total,Total,,
56550003,Carrefour,Carrefour,,
24400001,Super U,Super U,,
43200006,,J.V.F,,
43200008,Vitogaz,Vitogaz,,
77170005,Carrefour Market,Carrefour Market,Carrefour,
33310009,Carrefour,Carrefour,,
22130001,Super U,Station U,Hyper U,
77124002,Auchan,Auchan,,
48800002,Avia,Avia,,
38330002,Esso Express,Esso Express,,
43120002,Intermarché,Intermarché,,
13127012,Esso,Esso,BP,
66200005,Auchan,Auchan,,
12200002,Carrefour,Carrefour,Carrefour,
72140001,Super U,,Super U,
81290002,Intermarché,Station service Intermarché,Groupement des Mousquetaires,
14460002,Super U,Super U,,
60120002,Carrefour,Carrefour,,
42000014,TotalEnergies,Total Access,,
6150008,Total Access,Total Access,,
56530001,E.Leclerc,E. Leclerc,,
63000024,Total Access,Relais Champradet,Total,
54700011,Dyneff,Dyneff,,
59400006,Carrefour,Carrefour,Carrefour,
54450002,Elan,Elan,Masson,
64470001,Elan,Elan,Elan,
48120001,,Spar,,
40410002,Carrefour,Carrefour Express,,
13160001,,Garoucha Fioul Service SARL,GAROUCHA,
86190004,Total,Total,,
41000022,Carrefour,,,
89520003,Avia,Avia,Avia,
1500007,Intermarché,Intermarché,Groupement des Mousquetaires,
91380004,Esso,Esso,,
69200008,E.Leclerc,Leclerc Vénissieux,E. Leclerc,
5200004,Intermarché,Intermarché,,
73140003,Total,Total,Total,
27540001,Intermarché,Intermarché,Groupement des Mousquetaires,
51100048,TotalEnergies,TotalEnergies Access,Total,
22120007,Avia,Avia,Avia,
24210004,,TotalEnergies,,
19300001,Auchan,Auchan,,
42540002,Carrefour,Carrefour Express,,
88150004,Total,Total Thaon,,
13150001,Auchan,Auchan,,
80046003,BP,BP,,
79150002,Carrefour,,,
94000012,Esso,Esso,,
58420002,,Station CC Val de Beuvron,,
57440002,Système U,Système U,,
73600007,Eni,Eni,,
11300003,Esso Express,Esso Express,Esso,
78140009,Shell,Station Shell,Shell,
33140012,Auchan,Auchan,Auchan,
15800002,Intermarché,,,
63680001,Gulf,Gulf,,
83390001,Total,Total,Total,
14110003,Total Access,,Total,
73730008,Agip,Agip Cevins,,
31470008,,E. Leclerc,,
67500009,E.Leclerc,Station Service E. Leclerc,E. Leclerc,
45300009,Avia,Avia,,
56340002,Super U,Super U,,
25130002,Netto,Netto,,
84850002,Intermarché,Intermarché Contact,,
82210005,TotalEnergies,TotalEnergies,,
22740001,,Meyer Energies,Meyer Energies,
29510005,Intermarché,Intermarché,,
33140010,Esso,Esso - Station de la plaine,,
33640002,Total,Total,,
22290002,,Total Energies,,
57100008,Total,Total,Total,
54310001,Intermarché,Intermarché,Groupement des Mousquetaires,
38260005,Casino,Casino,Casino,
24600005,TotalEnergies,TotalEnergies,,
88150001,Match,Match,,
40800008,Intermarché,Intermarché,Groupement des Mousquetaires,
33640003,Carrefour,Carrefour,,
31290001,Hyper U,Hyper U,,
81800006,Intermarché,Intermarché,,
69700005,Intermarché,Intermarché,,
69490004,Avia,Avia,,
45140008,TotalEnergies,TotalEnergies,,
46140004,Aire C,Aire C,,
70230001,Avia,Avia,,
74100013,Carrefour,Carrefour Market,,
74200021,Carrefour,Carrefour Market,,
1410001,Avia,Avia,,
68680003,TotalEnergies,TotalEnergies,,
78318001,Auchan,Auchan,,
11150001,Carrefour,Carrefour Market,,
72360002,Carrefour,,,
80100012,,Multi Energies Somme,,
33130002,Carrefour,Carrefour,Carrefour,
30290002,,Utile,,
45170001,Super U,Super U,Système U,
38150012,,U Express,U Express,
31084001,Total,TotalEnergies Thibaud,Total,
38510005,,Super U,Super U,
40240007,,Station U,,
47230001,Système U,Système U,,
47240003,Netto,Netto,,
51170001,Carrefour Market,Carrefour Market,,
57190001,Carrefour Market,Carrefour Market,,
57100001,Carrefour Market,Carrefour Market,Carrefour Market,
1120006,Total,Total,,
6320006,Total,Total,Total,
41260005,Esso,Esso,Esso,
23300008,Avia,Avia,Avia,
58000012,E.Leclerc,Station Service E. Leclerc,,
33650004,Intermarché,,,
33850002,Système U,Station U,,
71500003,TotalEnergies,TotalEnergies,,
13013012,,Le Relais de Plombières,,
84660001,,Panagiotis,,
13370005,,Relais de Douneau,,
52100003,Total,,SARL BRIVOT ET CHEVALIER,
22110002,E. Leclerc,,,
30200006,Total Access,Total Access,Total,
54300008,,Ducs de Lorraine,,
46100005,Intermarché,,,
89520002,Total,Total,,
39700013,Total Access,Relais du Poirier,Total,
30700006,Dyneff,Dyneff,,
55160013,BP,BP,,
62240005,Carrefour,Carrefour,,
63190009,Sas Larzat et Meyronne Lezoux,Larzat et Meyronne,Sas Larzat et Meyronne Lezoux,
45140005,Carrefour,Carrefour,Carrefour Market,
33200001,Carrefour Market,Carrefour Market,,
81370004,Total,Total Les Portes du Tarn,Total,
50410002,Intermarché,Intermarché,,
91220005,BP,BP Plessis-Pâté Sud,BP,
33480006,Intermarché,Intermarché,,
89100014,Total,,,
62129002,Carrefour Contact,Carrefour Contact,,
22120001,Hyper U,Hyper U,Hyper U,
12160003,Carrefour Market,Carrefour Market,Carrefour,
42450002,Super U,Super U,Super U,
61100007,Carrefour,Carrefour,Carrefour,
81990001,E.Leclerc,Station Service E.Leclerc,,
51100029,Carrefour Market,Carrefour Market,,
77910001,Total,Total,,
34370002,Système U,,,
10430003,E.Leclerc,E. Leclerc,,
10410003,E.Leclerc,E. Leclerc,E. Leclerc,
29790002,Super U,Super U,,
13600024,,Station Mesnier,,
38320005,Intermarché,Station Intermarché,Groupement des Mousquetaires,
72230006,Esso,Esso,Esso,
2320001,Carrefour,Carrefour,,
51390002,Shell,Shell,Shell,
56440002,Intermarché,Intermarché,,
62450005,Total Access,Total Access,,
59721001,Carrefour,Carrefour,,
53960001,Avia,Avia,,
43200005,,,Groupement des Mousquetaires,
88500004,Total,Total Contact,Total,
62152003,Total,Total,,
59540002,Intermarché,Intermarché,Groupement des Mousquetaires,
53370001,Total,Total,Eurl Olivier,
11220001,Dyneff,Dyneff,,
44330001,Super U,Super U,,
44260003,Système U,Station U,,
77090001,Carrefour,Carrefour,Carrefour,
31770001,Carrefour Market,Carrefour Market,Carrefour Market,
57200003,Intermarché,Intermarché,Groupement des Mousquetaires,
62000013,Total,Total,Total,
66400006,Carrefour,Carrefour,,
66000021,Total,Total,,
66250001,Total,Total,S.A.S FORMENTY,
80300005,Intermarché,Intermarché,Groupement des Mousquetaires,
57590003,DATS 24,Dats 24,,
57185006,Carrefour,Carrefour Contact,,
44119005,Total,Total,Total,
44115003,Total Access,Total Access,Total,
57470004,E.Leclerc,Station Service E. Leclerc,E. Leclerc,
57700004,E.Leclerc,Station Service E.Leclerc,,
38210001,Carrefour,Carrefour Market,,
24000010,Esso,Esso,Esso,
23000001,Carrefour,Carrefour,Carrefour,
8200004,Esso Express,Esso Express,,
38540001,Intermarché,Intermarché,Groupement des Mousquetaires,
95650002,Total Access,Total Access,Total,
48140002,Carrefour,Carrefour,,
2500001,Auchan,C. C. Auchan,Auchan,
2300001,Auchan,Auchan,Auchan,
62149001,Esso Express,Esso Express,,
57430001,Super U,Super U,,
57300002,Total,Total,SAS Garage Oury,
6650004,,Station Essence Intermarché,,
71570003,Avia,Avia Xpress,,
50470001,Auchan,Auchan,,
58230002,Independent,Rousseau carburant,,
38180001,Intermarché,Intermarché,,
43000002,Station U,,Super U,
57500001,Total,Station Total,Total,
57740003,Total Access,Total Access,,
57740007,Avia,Avia,,
13010005,TotalEnergies,Total,,
8110002,Intermarché,Intermarché,,
37540005,Total,Total,,
59114003,Super U,Super U,,
30250003,Carrefour,Carrefour Market,,
2230002,Carrefour Market,Carrefour Market,Carrefour Market,
80140004,Total Access,Espace Auto,,
62130002,,,Esso,
62780003,Intermarché,Intermarché,Groupement des Mousquetaires,
62390001,Intermarché,Intermarché Super,Groupement des Mousquetaires,
62140001,Carrefour,Carrefour,,
83570001,Intermarché,Intermarché,,
35500001,Système U,Station U,,
22730001,Station U,Super U,Super U,
43190003,Carrefour,Carrefour,,
62440001,Auchan,Auchan,,
16300004,Intermarché,Intermarché,,
2240001,Intermarché,Intermarché,,
89140004,Esso,Esso,Esso,
57365001,Carrefour Market,Carrefour Market,Carrefour Market,
50000005,E.Leclerc,E. Leclerc,,
25110001,Total Access,Garage Droz,,
38880002,TotalEnergies,,,
62160003,Esso,Esso,,
52200014,TotalEnergies Access,TotalEnergies Access,Total,
6500008,Total,Total,,
18000002,Carrefour,Station Carrefour,Carrefour,
62290003,Esso,Esso,,
88000009,,Relais des images (Total),,
53100006,,Garage Martineau,,
57800001,Auchan,Auchan Supermarché Station Service,,
58260002,Intermarché,Intermarché,,
45560001,Carrefour,Station Service Carrefour Market,Carrefour,
67033001,Auchan,Auchan,,
78124001,Intermarché,Intermarché,,
67100009,Eni,Eni,Eni,
66420003,Montaner et Fils,Montaner et Fils,,
6300019,Avia,AVIA,,
62136001,Total,Total,,
44650001,Super U,Super U,,
67100002,Esso Express,Esso Express,,
67000005,Avia,Avia,,
59670001,Carrefour,Carrefour,,
78550007,Carrefour Market,Carrefour Market,Carrefour,
62360006,Total Access,Relais Total Access Des Bergeronnettes,Total,
60100004,Esso,Esso,Esso,
62126001,Carrefour,Carrefour,Carrefour,
59237001,Elan,Elan,,
60600004,Intermarché,Intermarché,Groupement des Mousquetaires,
62280004,Carrefour,Carrefour,,
60290005,Total Access,Total Access,,
59310001,E. Leclerc,E. Leclerc,,
62500003,Esso Express,Esso Express,,
60500010,BP,BP,,
60500002,Esso,Esso,,
59250002,Intermarché,Intermarché,,
59450001,Auchan,Auchan,Auchan,
59200003,Esso,Station Esso de La Marne,,
59650012,Total Access,Total Access,,
59182001,Intermarché,Intermarché,,
59211002,Carrefour,Carrefour,,
59890001,Carrefour,Carrefour,,
59520001,Intermarché,Intermarché,,
59700004,Esso,Esso,,
59166001,Intermarché,Intermarché,,
59160003,Avia,Avia,,
62590001,,Match,,
59162001,Intermarché,Intermarché,,
62790001,Carrefour,Carrefour Market,,
59148003,Carrefour,,,
59450002,Esso Express,Esso Express,,
59151002,Carrefour,Carrefour,,
60870002,Intermarché,Intermarché,,
59110005,Total Access,Total Access,Total,
59830001,Intermarché,Intermarché,,
59310004,Intermarché,Intermarché,,
59239002,Carrefour,Carrefour,,
59133002,Carrefour,Carrefour,,
38550001,Intermarché,Intermarché,,
85350001,,Igol,,
61320002,TotalEnergies,TotalEnergies,,
6270004,Intermarché,Intermarché,,
6270003,,Station service des Mousquetaires,,
53000006,Carrefour,Carrefour,Carrefour Market,
69550001,Carrefour,Carrefour Market,,
24170002,Carrefour Market,Carrefour Market,Carrefour,
24220002,Carrefour Market,Carrefour Market,,
88110002,E.Leclerc,Station Service E. Leclerc,E. Leclerc,
72550002,Total,Total,,
86310003,Total,Total,,
31790004,Carrefour Contact,,Carrefour,
73100001,Carrefour,Carrefour,,
75013022,Total,Relais Total Porte D'Italie,Total,
1000002,Carrefour,Carrefour Market,,
34440001,Dyneff,Dyneff,,
58640004,Total Access,Relais Total De Varennes,Total,
60120004,Total,Total,Total,
6600023,Total,,Total,
74350006,Avia,Avia,,
11300004,E.Leclerc,Station Service E. Leclerc,,
77450007,Esso,Esso Esbly,,
87200003,E.Leclerc,Station Service E. Leclerc,,
38340006,Système U,Système U,,
41200006,Système U,Station U,,
76340001,Elan,Elan,Total,
76340003,Intermarché,Intermarché,Groupement des Mousquetaires,
51100044,Total,Relais des Belges,,
60360002,E.Leclerc,Station Service E. Leclerc,,
14130008,Total,Total,,
22120005,Intermarché,Intermarché,,
77610002,Intermarché,Intermarché,Groupement des Mousquetaires,
91160006,BP,BP,,
95380002,Avia,Avia,,
13127013,Intermarché,Intermarché,,
69260007,Carrefour,Carrefour Contact,,
27170003,Total,Total,,
9100001,Intermarché,Intermarché,Intermarché,
80100011,Total,Total,Total,
75019014,Total Access,TotalEnergies,Total,
83990002,,Station du Pilon,,
83600025,BP,BP,BP,
83520001,Total,Total,Total,
12500004,,La station u,Magasin U,
76260004,Esso,Esso-service,,
80480002,E.Leclerc,Leclerc,E. Leclerc,
76600014,,,U express,
76370001,Carrefour,Carrefour,,
80700009,Total Access,Total Access,,
80140003,Intermarché,Intermarché,Groupement des Mousquetaires,
80700010,BP,BP,,
76280002,Carrefour,Carrefour Market,,
76620003,Esso Express,Esso Express,,
76800009,Total Access,Total Access,Total,
76430005,Super U,La Station U,,
76560001,Carrefour,Carrefour,,
76210004,Intermarché,,,
76940001,Carrefour Market,Carrefour Market,,
76190001,Total,Total,SARL SYLDA,
27310005,Intermarché,Intermarché,,
76640002,Super U,Super U,,
63230002,Carrefour,Carrefour,,
71330001,Super U,Station U,,
83440006,Agip,,,
1800003,Intermarché,Intermarché,,
60200012,Total,Total,Total,
72160002,,,Carrefour,
24100014,Total Access,Total Access,,
13150006,Total Access,Relais d’Argence,,
42800001,Carrefour Market,Carrefour Market,,
83580003,Avia,Avia,,
83240007,Avia,Avia,,
83420005,Total Access,Relais la Croix Valmer,,
18000022,Intermarché,Intermarché,,
31120003,TotalEnergies,Total,,
21120006,TotalEnergies,Total,Auto Home 21,
83230007,Intermarché,Intermarché,,
94000006,Esso,Esso,,
20169002,,Ets. Botti,,
6000037,Avia,Avia,,
83310006,,Bergon SAA,Bergon SAS,
83310007,E.Leclerc,Station Service E.Leclerc,E. Leclerc,
42440009,TotalEnergies,TotalEnergies,,
16360001,TotalEnergies,TotalEnergies,,
72470004,Total Access,Total Access,,
23600001,Carrefour Market,Carrefour Market Essence,,
19600003,Total Access,Relais de la Croix Blanche,,
85250003,Dyneff,Dyneff - Aire de Chavagnes-en-Paillers,Dyneff,
69490002,Intermarché,Intermarché,Groupement des Mousquetaires,
44300020,Avia,Avia,Avia,
61100012,Total,Total,,
81200002,Auchan,Auchan,Auchan,
39230002,Avia,Avia,,
83000012,,,,
39230002,Avia,Avia,,
81100006,Netto,,,
75012021,TotalEnergies,Total Relais du Bel Air,,
6420001,Dyneff,Dyneff,SP AUTO Sarl,
83260003,Avia,Avia,,
83000011,,station d'avitaillement,,
62720002,Carrefour,Carrefour,,
88170006,Total,Total,,
1430003,Eni,Eni,Eni,
15200004,Intermarché,Intermarché,,
66000006,Total,Total,,
69330006,Netto,,,
69620003,Carrefour Market,Carrefour Market,,
83210003,Intermarché,Intermarché,,
11200001,Carrefour,Carrefour-Station Service,Carrefour,
13560003,,Station Auto Relax,,
83130007,Carrefour,,,
12500002,Total,Total,Total,
69150004,TotalEnergies,TotalEnergies,,
11800002,Super U,,,
6670011,Eni,Eni,,
3120001,Eni,Eni,,
1960006,Eni,Eni,,
3410004,Eni,Eni,,
38070001,Carrefour Market,Carrefour Market,,
67700013,TotalEnergies,Total,,
59130002,Intermarché,Intermarché,Groupement des Mousquetaires,
59760002,BP,BP,BP,
62800004,Total Access,Relais Total de Rollencourt,Total,
34500008,Auchan,Auchan,Auchan,
66300015,Intermarché,,,
47000009,,Netto,,
66250002,Intermarché,Intermarché,,
85120005,Intermarché,Intermarché,,
83190006,Total,Relais Piedardan,,
81700003,Intermarché,Intermarché,,
80100001,Carrefour,Carrefour,,
15100006,Intermarché,Intermarché,,
31290012,E.Leclerc,E. Leclerc,,
81100010,E.Leclerc,E. Leclerc,,
31290005,Esso Express,Esso Express Lauragais,Esso,
83110002,Total Access,,,
57200004,Carrefour,Carrefour,Carrefour,
59230001,Carrefour,Carrefour,,
44330003,Système U,,,
59287002,Carrefour,Carrefour Station,,
50530002,Super U,Super U,,
83150003,,Port de Bandol,,
83500008,Total,Total,,
72240001,Super U,,Super U,
13590003,Total,,,
83640001,Système U,Station U,,
6000036,Esso,Esso,Esso,
3600001,Carrefour,Carrefour,,
65400001,Carrefour,Carrefour,Carrefour Market,
6345001,,,,
59554002,Intermarché,Station-service Intermarché,,
38920002,Carrefour Market,,,
6700002,Avia,Avia,,
29340002,Carrefour Market,Carrefour Market,,
19260002,Intermarché,Intermarché,,
11390001,Dyneff,Dyneff,,
81115001,Auchan,Auchan,Auchan,
20213005,Vito,Vito,Vito,
30100001,Système U,Hyper U,Hyper U,
34500024,Dyneff,Dyneff,,
91410004,E.Leclerc,Leclerc Carburants,,
71120001,Avia,Avia,SARL Ribeiro,
34490002,Intermarché,Intermarché,,
42510003,TotalEnergies,Total Contact,,
38670003,Intermarché,Intermarché,Intermarché,
52000010,Intermarché,Intermarché,Intermarché,
6800031,Eni,Eni,Eni,
38600003,,Station essence Auchan,,
30210008,,Relais des Fontaines,,
11000018,Auchan,Auchan,Auchan,
53270002,Dyneff,Dyneff,,
71200013,Eni,Eni,,
44390004,Carrefour,Carrefour Contact,,
39000010,Carrefour,Carrefour,Intermarché,
19500002,Système U,Station U,,
59700003,Carrefour,Carrefour,,
91940009,Total Access,Station-service Total Access,Total,
62770001,Carrefour,Carrefour Contact,,
35300002,Carrefour,Carrefour,,
74200019,,Carburauto,,
14000019,TotalEnergies,Relais Total Saint-Gilles,Total,
59320006,Total Access,Total Access,,
77250007,Total Access,TotalEnergies,,
33400011,Auchan,Auchan,,
40100004,E.Leclerc,E. Leclerc,,
47110002,Elan,Elan,,
47310003,Total Access,TotalEnergies,,
47310007,Système U,Système U,,
83270003,Intermarché,Intermarché,,
70400004,Super U,Super U,Super U,
40160005,,Deghuillem,,
61430002,Carrefour,Carrefour,,
70200001,,Match,,
57420005,Carrefour Contact,Carrefour Contact,,
70270001,Avia,Avia,,
83140009,Intermarché,Intermarché,Intermarché,
24340002,Carrefour,Carrefour Contact,,
25500001,,,Cyprien Rognon,
87000002,,,Carrefour,
63260003,,Station libre-service,Carrefour,
72650002,Total Contact,SARL Picault,Total,
3170001,Avia,Avia,,
9300005,Carrefour,Carrefour Market,,
76910001,Intermarché,,,
76220010,Intermarché,Intermarché Contact,,
38500001,Carrefour,Carrefour,,
27300007,TotalEnergies,TotalEnergies,,
29140002,Système U,Station U,,
55700006,Intermarché,Intermarché,,
64260002,Carrefour Market,,,
80044001,Auchan,Auchan,Auchan,
87430004,Avia,Avia,,
83560010,Auchan,Auchan,,
74200020,Eni,Eni,,
29217001,Intermarché,Intermarché,Groupement des Mousquetaires,
60560001,Intermarché,Intermarché,Groupement des Mousquetaires,
60220002,Auchan,Auchan,,
60370002,Intermarché,Intermarché,Super U,
75015034,Shell,Shell,Shell,
75015036,Avia,Avia,,
26800009,Auchan,Auchan Carburant,,
13600023,Intermarché,Intermarché,,
31790005,Carrefour,Carrefour,,
68200025,Eni,Eni,Eni,
29350001,Intermarché,Intermarché,,
38340011,Total,,,
26140006,Total,,,
26240008,Netto,,,
9140003,Total,Station Service Total,Total,
69780002,Netto,Netto,Netto,
95350004,Total,Total,,
32130003,,Carrefour contact station,Carrefour,
60130001,E.Leclerc,Station Service E. Leclerc,E. Leclerc,
71700006,TotalEnergies,Relais Paris Savoie,Total,
74200003,Carrefour,Carrefour,,
74200016,Intermarché,Intermarché,,
31860006,Carrefour,Carrefour Market,,
59750005,Total Access,Total Access,,
61120003,Carrefour,Carrefour,,
21200009,TotalEnergies,Relais Beaune Tailly (PL),TotalEnergies,
60410003,E.Leclerc,Station service Carrefour Contact,Carrefour,
32500007,Netto,Netto,Netto,
60180001,Auchan,Auchan,Auchan,
66210004,Intermarché,Intermarché,,
2100001,Auchan,Auchan Carburant,,
60300005,Intermarché,Intermarché,Groupement des Mousquetaires,
89200006,Esso,Esso,Ets Guillemeau,
6110004,Esso Express,Esso Express,Esso,
62250010,Total Access,Aire de l'Épître,Total,
31120005,Esso Express,Esso Express,,
92100015,TotalEnergies,Total,,
6200031,Dyneff,Dyneff,Dyneff,
88200017,Intermarché,Intermarché,Groupement des Mousquetaires,
35540008,Carrefour,Carrefour Contact,,
76270003,Système U,Station U,,
46200004,Netto,Netto,,
94350003,Esso,Esso,,
46260002,Total,Total,,
50880001,Total,Total,,
49230003,Pohu,,,
71500001,Avia,Avia Xpress,,
22480001,Station U,Super U,Super U,
34130005,Intermarché,Intermarché,,
58600002,Intermarché,Intermarché Super,Groupement des Mousquetaires,
69008007,Total Access,Total Access,,
60420001,Carrefour Market,Carrefour Market,,
53960001,Avia,Avia,,
69330001,Carrefour Market,Carrefour Market,,
42230001,Intermarché,,Intermarché,
26740004,Eni,Eni,,
2200008,Esso Express,Esso Express,,
90000015,Total Access,Total Access,Total,
67510001,TotalEnergies,Station du Fleckenstein,,
21190007,TotalEnergies,TotalEnergies,,
69110005,Intermarché,,,
46300013,Carrefour,Carrefour,,
45300008,Total,Total,,
45200008,Total,,,
48190003,Carrefour,Carrefour Express,,
87400006,Carrefour Market,Carrefour Market,,
91630008,Avia,Avia,,
71390006,,,ELAN,
13530003,Auchan,,,
31400013,Avia,Avia,Avia,
21250005,Avia,Avia,,
69400009,Auchan,,,
1400001,Carrefour,Carrefour DAC,Carrefour,
34460001,Dyneff,Dyneff,Dyneff,
60150005,Carrefour,Carrefour Market,,
95470006,Total,Total,,
7300008,Avia,Avia,,
83610002,Independent,La Treille des Maures,,
35540009,Système U,Station U,,
43170004,Carrefour,Carrefour Contact,,
69004020,Eni,Eni,,
69120012,,Garibaldi Automobiles,,
11590004,Auchan,Auchan,,
56300010,Total Contact,Total Pontivy Nord,Total,
37390003,Super U,Super U,Super U,
45230002,Système U,Station U,,
40280008,Total,Total,,
89500002,Intermarché,,Intermarché,
31620006,Intermarché,Intermarché Castelnau,Groupement des Mousquetaires,
70320004,Intermarché,Intermarché,,
34410009,,Carrefour Contact,,
6700005,,Boccanera,,
50520001,,Station-service Municipale,,
88200018,Total,Total,Total,
6345001,Auchan,,,
1320004,Netto,Netto,,
13008019,Eni,Eni,,
59400005,Carrefour,Station-service Carrefour,,
37320001,Auchan,,,
74100009,Elan,Elan,Garage Chevallier,
24100019,Avia,Avia,,
59190010,TotalEnergies,TotalEnergies,SARL ETS TROLLE,
74100010,Total,Total La Chamarette,,
62630007,Carrefour,Carrefour,Carrefour Market,
62450006,Carrefour,Carrefour,,
59286002,Carrefour,,,
42100019,Esso,Esso,,
34480001,Intermarché,Intermarché,,
62580003,Carrefour,Carrefour,,
62300018,Auchan,Auchan,,
73290008,Eni,Agip,,
19800005,Shell,Shell,Shell,
17580002,Carrefour,Carrefour Contact,,
77140012,Shell,Shell,Shell,
55300004,Carrefour Market,Carrefour Market,,
80410005,Carrefour Contact,Carrefour Contact,,
74100007,E.Leclerc,Station Service E. Leclerc,E. Leclerc Ville-la-Grand,
35550006,Elan,,,
13011027,Carrefour,Carrefour Contact,,
43100006,Netto,Netto,,
34770005,Carrefour,,,
18310003,Carrefour,Carrefour Contact,,
93240009,BP,BP,,
27350004,Carrefour,Carrefour Contact,,
19300002,Super U,Super U,,
78710005,Esso Express,Esso Express,,
34320001,Total,Total Contact,,
1100008,Intermarché,Netto,,
3150005,Carrefour Market,Carrefour Market,,
2190007,Carrefour,Carrefour,Carrefour,
22500006,Avia,Avia,,
44600007,E.Leclerc,Station E. Leclerc,E. Leclerc,
64600009,E.Leclerc,Station Service E.Leclerc,,
64600002,Carrefour,Carrefour,,
18700003,Intermarché,Intermarché,,
35290003,Intermarché,,,
57050002,Auchan,Auchan,,
34500032,Eni,Eni,,
69100032,Eni,Eni Villeurbanne Blum,,
22140003,Total,Total Contact,,
21160004,Total Access,Relais Total De La Côte,Total,
57340004,Total Access,Total Access,,
75020010,Total,Total,,
40240008,Carrefour,Carrefour Contact,Carrefour,
61190004,Carrefour,Carrefour,,
31076001,,Station essence Carrefour Purpan,Carrefour,
80340004,Carrefour,Carrefour,,
80290009,Total,Total,,
80400005,Carrefour,Carrefour,,
35660004,Total,Total Contact,,
33580002,Carrefour,Carrefour Contact,,
13270004,Esso Express,Esso Express,,
20153003,Total,,,
31210007,Avia,Avia,,
68480002,Auchan,Auchan,,
81320002,Mousquetaire,Netto,,
29280001,Carrefour,Carrefour,Carrefour,
7190002,TotalEnergies,TotalEnergies,SARL Le Moulinon Auto,
31100003,Intermarché,Station Intermarché,,
19150002,Station U,,Super U,
38580004,Carrefour,Carrefour,,
34690009,TotalEnergies,TotalEnergies,,
72130009,Carrefour,Carrefour,,
65440001,Intermarché,Intermarché,,
20100003,Vito,Vito,,
72290003,Carrefour,,,
68040002,Esso,Garage Wackenthaller,Shell,
93300008,Auchan,Auchan,,
38090005,Netto,Netto,SAS Dalorenzo,
62120009,Intermarché,Intermarché,,
73490002,Super U,Super U,Super U,
59279006,Carrefour,Carrefour,,
66270004,Carrefour,Carrefour Contact,,
38690006,Système U,Station U,,
51370005,Total,Total Saint-Brive-Courcelles,,
13210004,Total,Total,,
82210006,Avia,Avia,,
66270001,Intermarché,Intermarché,,
71470004,Carrefour,,,
42152001,Système U,Station U,,
77380001,Intermarché,Intermarché,,
68330002,Système U,Station U,,
92210003,Esso,Esso,,
7100002,Système U,Station U,,
27600006,Total,Total,,
42153003,Intermarché,Intermarché,,
42550001,Intermarché,Intermarché,Intermarché,
63720003,Intermarché,Intermarché,Groupement des Mousquetaires,
15210001,Super U,Super U,Super U,
63960005,Carrefour,Carrefour Contact,,
63140002,Carrefour Contact,Carrefour Contact,,
63760001,Intermarché,Intermarché,Groupement des Mousquetaires,
71350001,Avia,Avia XPress,Avia,
38550002,Système U,Station U,,
69270002,Intermarché,Intermarché,,
23000008,Netto,,,
23170001,,,Intermarché,
58340001,Avia,Avia,,
24230003,Total,Total,,
38110002,Total,Total,,
12150003,,Augade,,
94594003,BP,BP,BP,
59650011,BP,BP,,
51110006,Carrefour,Carrefour,,
11000018,Auchan,Auchan,,
59149002,Netto,Netto,,
68160005,Intermarché,Intermarché,,
23160002,Vival,,Vival,
12800002,Intermarché,Intermarché,Intermarché,
42290002,TotalEnergies,TotalEnergies,,
72190003,Total Access,Relais Total De Courdoux,Total,
46320001,Intermarché,Intermarché,Intermarché,
66360001,Dineff,,,
59320005,Intermarché,Intermarché,,
21200011,,Gas Station (Netto / Les Mousquetaires),Les Mousquetaires,
91130008,Intermarché,Intermarché,Groupement des Mousquetaires,
62600002,Carrefour,Carrefour,,
82160002,,Le Relais du Causse,,
15400004,Total,Total,,
91940008,Total Access,Station-service Total Access,,
50150002,Super U,Super U,,
54200005,Avia,Avia,,
9200003,,Le Relais de Guzet,DEFA,
47210001,Intermarché,Intermarché,,
37100002,Auchan,Auchan,Auchan,
74000002,Carrefour,Carrefour,Carrefour,
62940001,Carrefour,Carrefour Market,,
65600001,Total,Total,Total,
6540002,Eni,Eni,,
3110003,Avia,,,
6190011,Eni,Eni,,
68490002,Intermarché,Intermarché,,
65500002,Intermarché,Intermarché,Groupement des Mousquetaires,
69190010,BP,BP Saint-Fons - P. Herriot,,
56690002,Intermarché,Intermarché,,
6430001,Avia,Avia,,
9190005,Avia,Station Service Avia XPress,,
89150002,Esso,Station Esso,Esso,
78140008,TotalEnergies,TotalEnergies - Relais de Vélizy,TotalEnergies,
43000009,TotalEnergies,Relais TotalEnergies du Puy,TotalEnergies,
6600022,Total,Total,Total,
27560001,Carrefour Contact,Carrefour Contact,,
31380002,Intermarché,,Groupement des Mousquetaires,
72700007,E.Leclerc,Station Service E.Leclerc,Leclerc,
59880001,Auchan,Auchan,,
