ref:FR:prix-carburants,brand,name,operator,branch
14310004,E.Leclerc,E. Leclerc,,
65200005,Intermarché,Intermarché,Groupement des Mousquetaires,
83560011,TotalEnergies,Total Energies,,
54240002,Esso Express,Esso Express,,
50160004,Esso,Esso,Esso,
62620002,Carrefour,Carrefour,,
94000004,Esso Express,Esso Express,,
60005001,TotalEnergies,Total Energies,,
84740002,TotalEnergies,TotalEnergies,Total Energie,
71510001,Avia,Avia,,
71800001,Avia,Avia,,
94290003,Intermarché,Intermarché,Groupement des Mousquetaires,
21270001,Avia,Avia,,
55140001,Intermarché,Intermarché,Groupement des Mousquetaires,
74270006,Netto,Netto,SAS Aunibo,Netto
5130004,Système U,,,
62800001,Carrefour,Carrefour,,
62990001,Carrefour,Carrefour Market,,
62730003,,C4T,,
94440001,Intermarché,Intermarché,,
6150011,Eni,Eni,,
8140003,Casino,Géant Casino,,
1120008,TotalEnergies,Total,Total,
41150005,Intermarché,Intermarché,,
63350001,Auchan,Auchan,Auchan,
59246005,Carrefour,Carrefour,,
61400001,Super U,,Super U,
50220002,Carrefour,,,
77390003,Carrefour Market,Carrefour Market,,
51210001,Carrefour,Carrefour,,
28170001,Carrefour,,,
22100010,E. Leclerc,,,
50540001,Total,,,
64100014,Total Access,Total Access,,
1120009,Avia,Avia,Avia,
76680005,TotalEnergies,TotalEnergies,TotalEnergies,
37210002,Système U,Système U,Super U,
37100012,Système U,Système U,,
4120006,Auchan,Auchan,Auchan,
12300005,Super U,Super U,,
11500005,Carrefour,Carrefour,,
25115001,Super U,Super U,Super U,
1440002,Total,SVI Viriat,,
8240001,TotalEnergies,TotalEnergies - Garage de la Bar,,
73200003,Carrefour,,,
63960002,Avia,Avia,,
88360002,Intermarché,,,
70300007,E. Leclerc,,,
56100012,Total,Station Total,Total,
56850003,Total,,SAS AUVENDIS SAS AUVENDIS,
29000015,Intermarché,Intermarché,Intermarché,
1120009,Avia,Avia,Avia,
33187002,TotalEnergies,TotalEnergies,Total,
11000013,Intermarché,Intermarché,,
62280003,Auchan,C. C. Auchan,Auchan,
1640003,TotalEnergies,Total,SARL CEYZERIAT,
33127002,TotalEnergies,TotalEnergies,,
34250003,Total,Total Access,Total,
13170013,Eni,Eni,,
1390013,Carrefour,Carrefour,,
1250007,Fulli,Fulli,Fulli,
68000015,,,Pôle position,
29380001,,,Groupement des Mousquetaires,
36260002,Carrefour,Carrefour,,
93100015,TotalEnergies,TotalEnergies,,
62147001,Avia,Station Avia,Avia,
1480006,Intermarché,Intermarché,,
12200006,Elan,Elan,Elan,
35131002,Carrefour,Carrefour,Carrefour,
35220002,Système U,Station U,,
61000009,Total,Total,,
30240004,,La Station du Sud,,
82400009,,Louda,BP,
8210001,Esso,Esso,,
35133002,,Bolloré Energy,,
8130003,Carrefour,Carrefour Contact,,
64140006,Netto,Intermarché,,
38200017,Carrefour Market,Carrefour Market,Carrefour,
31140005,Aire C,,,
67100007,Avia,Avia,Avia,
6160008,Eni,Eni,Agip,
18000018,Total,Relais Total Bourges Camping,Total,
57071001,Carrefour,Carrefour,Carrefour,
82000015,TotalEnergies,Relais Total du Tescou,Total,
83600024,BP,BP,,
29200004,TotalEnergies,Total Access,Ateliers Caugant SA,
20240004,,Vito,,
10100001,Carrefour,Carrefour,,
36400006,,Etablissements Aubrun,,
93100017,BP,Esso,,
69360010,Système U,Station U,,
24800004,Intermarché,Intermarché,,
69009007,TotalEnergies,Total,,
30460001,,Super Lasalle,,
82300005,Intermarché,Intermarché,,
13124004,E.Leclerc,Station Service E.Leclerc,,
20137006,Total,Total,Total,
69380007,Avia,Avia,Avia,
75001003,OIL!,Oil France,,
33720009,Carrefour,Carrefour Contact,,
59190005,Elan,Elan,,
11100002,Dyneff,Dyneff,,
74330004,E.Leclerc,Station Service E.Leclerc,,
76200004,Total Access,Total Access,TotalEnergies,
50340006,TotalEnergies,Total,,
42500013,E.Leclerc,Station E. Leclerc,,
50200012,TotalEnergies,Total,,
38160007,Avia,Avia,,
72130001,Système U,Station U,,
87230003,TotalEnergies,Total Contact,,
33110003,Monoprix,Monoprix,Groupe Casino,
50000009,Intermarché,Intermarché,,
50420002,Carrefour Contact,Carrefour contact,,
38140009,Netto,,,
66160004,TotalEnergies,TotalEnergies,,
19600001,Carrefour Contact,Carrefour Contact,,
38300026,Eni,Eni,,
38300027,Carrefour Market,Super Eco,Super Eco,
38300025,Netto,Netto,Netto,
38460005,,Mancipoz,,
72220002,Total,Total,Total,
26300013,Carrefour,,,
74120011,Auchan,Auchan,,
15100012,E.Leclerc,Station Service E. Leclerc,,
50590004,Carrefour,Carrefour,Carrefour Contact,
50500008,TotalEnergies,Total,,
69110006,TotalEnergies,TotalEnergies,,
69120013,Eni,Eni,,
94420005,Esso,Esso,,
78370001,Auchan,Auchan,,
62120006,Esso,Esso,,
62350002,Carrefour,,,
47160002,U,U Express,,
50680001,TotalEnergies,Total,,
88630003,Avia,Avia,,
74570011,Avia,Avia,,
